dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, classifier, balancing, Feature Selection,TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, IBK, NO_FEATURES_SELECTION, NO_SAMPLING, 36.0, 131.0, 399.0, 24.0, 0.9432624113475178, 0.7528301886792453, 0.6811792452830189, 0.19703222407586288
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, IBK, NO_FEATURES_SELECTION, OVER_SAMPLING, 52.0, 359.0, 171.0, 8.0, 0.9553072625698324, 0.32264150943396225, 0.6365408805031446, 0.05267532922080761
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, IBK, NO_FEATURES_SELECTION, UNDER_SAMPLING, 44.0, 198.0, 332.0, 16.0, 0.9540229885057471, 0.6264150943396226, 0.7030503144654088, 0.15341290063028012
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, IBK, NO_FEATURES_SELECTION, SMOTE, 37.0, 135.0, 395.0, 23.0, 0.9449760765550239, 0.7452830188679245, 0.6894182389937107, 0.19803854094975912
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, IBK, BEST_FIRST, NO_SAMPLING, 32.0, 118.0, 412.0, 28.0, 0.9363636363636364, 0.7773584905660378, 0.6860220125786164, 0.18659112370160522
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, IBK, BEST_FIRST, OVER_SAMPLING, 59.0, 523.0, 7.0, 1.0, 0.875, 0.013207547169811321, 0.5366037735849056, -7.121123842817357E-4
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, IBK, BEST_FIRST, UNDER_SAMPLING, 42.0, 343.0, 187.0, 18.0, 0.9121951219512195, 0.35283018867924526, 0.6511635220125787, 0.015530390570834263
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, IBK, BEST_FIRST, SMOTE, 32.0, 119.0, 411.0, 28.0, 0.9362186788154897, 0.7754716981132076, 0.6428616352201257, 0.1846385259001598
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 0.0, 2.0, 504.0, 109.0, 0.8221859706362153, 0.9960474308300395, 0.8201037096130833, -0.006427929056893602
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 5.0, 6.0, 500.0, 104.0, 0.8278145695364238, 0.9881422924901185, 0.4443558037495014, 0.05254754768774017
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 0.0, 3.0, 503.0, 109.0, 0.8218954248366013, 0.9940711462450593, 0.811246691083149, -0.009585788409110762
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 4.0, 2.0, 504.0, 105.0, 0.8275862068965517, 0.9960474308300395, 0.8201490372411793, 0.05203336358528884
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 65.0, 91.0, 415.0, 44.0, 0.9041394335511983, 0.8201581027667985, 0.8087264749610182, 0.3562306636581452
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 106.0, 496.0, 10.0, 3.0, 0.7692307692307693, 0.019762845849802372, 0.6197193313268303, -0.0027971205343284467
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 105.0, 441.0, 65.0, 4.0, 0.9420289855072463, 0.12845849802371542, 0.7897523298400841, 0.03566633896764238
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, NAIVE_BAYES, BEST_FIRST, SMOTE, 88.0, 124.0, 382.0, 21.0, 0.9478908188585607, 0.7549407114624506, 0.7995340319831744, 0.4102143532695324
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 47.0, 6.0, 500.0, 62.0, 0.8896797153024911, 0.9881422924901185, 0.89105051310875, 0.5251827966755982
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 105.0, 487.0, 19.0, 4.0, 0.8260869565217391, 0.037549407114624504, 0.7090056931500889, 3.111974812867578E-4
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, RANDOM_FOREST, NO_FEATURES_SELECTION, UNDER_SAMPLING, 85.0, 92.0, 414.0, 24.0, 0.9452054794520548, 0.8181818181818182, 0.8521231461000108, 0.48042300297150853
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, RANDOM_FOREST, NO_FEATURES_SELECTION, SMOTE, 50.0, 7.0, 499.0, 59.0, 0.8942652329749103, 0.9861660079051383, 0.8939877434093628, 0.5473099571734475
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, RANDOM_FOREST, BEST_FIRST, NO_SAMPLING, 62.0, 59.0, 447.0, 47.0, 0.9048582995951417, 0.883399209486166, 0.8236664611814193, 0.4334851223581757
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, RANDOM_FOREST, BEST_FIRST, OVER_SAMPLING, 3.0, 9.0, 497.0, 106.0, 0.824212271973466, 0.9822134387351779, 0.5009337491387751, 0.014958425604813398
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, RANDOM_FOREST, BEST_FIRST, UNDER_SAMPLING, 80.0, 103.0, 403.0, 29.0, 0.9328703703703703, 0.7964426877470355, 0.7705424810530515, 0.41883939693312144
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, RANDOM_FOREST, BEST_FIRST, SMOTE, 62.0, 59.0, 447.0, 47.0, 0.9048582995951417, 0.883399209486166, 0.8128784856946005, 0.4334851223581757
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, IBK, NO_FEATURES_SELECTION, NO_SAMPLING, 60.0, 15.0, 491.0, 49.0, 0.9092592592592592, 0.9703557312252964, 0.7097943938789572, 0.5934304307406258
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, IBK, NO_FEATURES_SELECTION, OVER_SAMPLING, 55.0, 44.0, 462.0, 54.0, 0.8953488372093024, 0.9130434782608695, 0.7088153171120861, 0.4332223664165212
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, IBK, NO_FEATURES_SELECTION, UNDER_SAMPLING, 88.0, 91.0, 415.0, 21.0, 0.9518348623853211, 0.8201581027667985, 0.7967509156180875, 0.5012237686280756
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, IBK, NO_FEATURES_SELECTION, SMOTE, 60.0, 15.0, 491.0, 49.0, 0.9092592592592592, 0.9703557312252964, 0.7103383254161076, 0.5934304307406258
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, IBK, BEST_FIRST, NO_SAMPLING, 74.0, 93.0, 413.0, 35.0, 0.921875, 0.8162055335968379, 0.7998785219567031, 0.40960295198524016
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, IBK, BEST_FIRST, OVER_SAMPLING, 34.0, 49.0, 457.0, 75.0, 0.8590225563909775, 0.9031620553359684, 0.5267251695253291, 0.23729322105094713
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, IBK, BEST_FIRST, UNDER_SAMPLING, 87.0, 141.0, 365.0, 22.0, 0.9431524547803618, 0.7213438735177866, 0.766018783769083, 0.3637298398613783
BOOKKEEPER, 4, 0.7449191206968063, 0.2455456570155902, 0.1772357723577236, IBK, BEST_FIRST, SMOTE, 74.0, 94.0, 412.0, 35.0, 0.9217002237136466, 0.8142292490118577, 0.7966511948362766, 0.40675684770172976
BOOKKEEPER, 5, 0.7868798955613577, 0.22853587722936541, 0.11791730474732007, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 3.0, 1.0, 575.0, 74.0, 0.8859784283513097, 0.9982638888888888, 0.7201704545454546, 0.06316353271993363
BOOKKEEPER, 5, 0.7868798955613577, 0.22853587722936541, 0.11791730474732007, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 59.0, 516.0, 60.0, 18.0, 0.7692307692307693, 0.10416666666666667, 0.4654468795093795, -0.03409192007259658
BOOKKEEPER, 5, 0.7868798955613577, 0.22853587722936541, 0.11791730474732007, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 3.0, 3.0, 573.0, 74.0, 0.8856259659969088, 0.9947916666666666, 0.6876352813852814, 0.05619896762083512
BOOKKEEPER, 5, 0.7868798955613577, 0.22853587722936541, 0.11791730474732007, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 7.0, 1.0, 575.0, 70.0, 0.8914728682170543, 0.9982638888888888, 0.7223462301587301, 0.14574466124960836
BOOKKEEPER, 5, 0.7868798955613577, 0.22853587722936541, 0.11791730474732007, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 53.0, 116.0, 460.0, 24.0, 0.9504132231404959, 0.7986111111111112, 0.7571022727272727, 0.32086292455353166
BOOKKEEPER, 5, 0.7868798955613577, 0.22853587722936541, 0.11791730474732007, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 60.0, 507.0, 69.0, 17.0, 0.8023255813953488, 0.11979166666666667, 0.5102250180375181, -0.02688362433751284
BOOKKEEPER, 5, 0.7868798955613577, 0.22853587722936541, 0.11791730474732007, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 63.0, 496.0, 80.0, 14.0, 0.851063829787234, 0.1388888888888889, 0.7314213564213564, -0.011566663224207374
BOOKKEEPER, 5, 0.7868798955613577, 0.22853587722936541, 0.11791730474732007, NAIVE_BAYES, BEST_FIRST, SMOTE, 63.0, 192.0, 384.0, 14.0, 0.964824120603015, 0.6666666666666666, 0.7619611291486291, 0.24226310512262983
