Version,Filename,LOC_added,MAX_LOC_added,AVG_LOC_addded,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,Buggy
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,3,3,3.0,0,0,0.0,10,10,10.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,26,26,26.0,17,17,17.0,2,2,2.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,236,236,236.0,236,236,236.0,11,11,11.0,Yes
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,0,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,32,32.0,32,32,32.0,5,5,5.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,2,2,2.0,0,0,0.0,24,24,24.0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,119,30,17.000002,-208,30,-29.714287,56,17,8.0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40,40,40.0,40,40,40.0,5,5,5.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,53,52,26.5,51,52,25.5,16,11,8.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,33,33,16.5,31,33,15.5,16,11,8.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,80,79,40.0,27,79,13.5,18,11,9.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,60,60,60.0,60,60,60.0,11,11,11.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java,27,27,27.0,27,27,27.0,1,1,1.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,89,84,44.5,88,84,44.0,4,3,2.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,90,90,90.0,90,90,90.0,11,11,11.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java,58,58,58.0,58,58,58.0,11,11,11.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,9,9,9.0,5,5,5.0,2,2,2.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,74,69,37.0,66,69,33.0,13,8,6.5,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,86,47,28.666668,81,47,27.000002,20,12,6.666667,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,3,3,3.0,3,3,3.0,33,33,33.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,4,4,4.0,4,4,4.0,33,33,33.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,15,15,15.0,13,13,13.0,33,33,33.0,Yes
